Palavra;Frequência
documento;2
no;221
hospital;2
do;382
amor,;4
do;382
câncer,;1
de;798
barretos,;1
que;832
é;420
um;205
dos;48
hospitais;1
mais;128
importantes;4
na;124
cura;1
contra;37
o;804
câncer;1
no;221
brasil.;36
o;804
que;832
eu;285
vi;8
lá;29
é;420
de;798
dar;22
inveja;1
ao;55
mundo.;7
mas;73
eles;12
fizeram;4
uma;194
súplica.;1
eu;285
fui;32
a;807
primeira;23
a;807
assinar;2
um;205
documento;2
que,;20
se;123
eleita;4
presidente;52
da;269
república,;16
vou;26
atualizar;1
a;807
tabela;2
sus:;1
25%,;1
por;123
"ano;";1
até;28
100%,;1
nos;32
quatro;14
anos.;14
sabe;33
por;123
quê?;9
porque,;4
hoje,;17
as;110
santas;1
casas;1
e;577
as;110
filantrópicas;1
atendem;1
a;807
60%;3
das;70
cirurgias;4
e;577
das;70
médias;1
e;577
altas;1
complexidades,;1
ou;59
seja,;24
dos;48
casos;1
mais;128
complicados;1
de;798
saúde;8
da;269
população;9
pobre.;2
sabe;33
o;804
que;832
eu;285
ouvi;4
de;798
lá,;4
dos;48
médicos;1
especialistas?;1
"""senadora";1
simone,;1
as;110
pessoas;44
morrem;2
"prematuramente"".";1
pobre;5
morre?;1
até;28
25%;1
dos;48
pobres;5
morrem;2
no;221
brasil;111
porque;92
não;311
têm;24
acesso;6
a;807
porta;3
do;382
sus;4
para;321
tratamento;2
preventivo;1
do;382
câncer.;1
porque;92
nós;201
não;311
conseguimos;4
atender,;1
porque;92
a;807
tabela;2
sus;4
está;75
defasada.;1
eu;285
fui;32
a;807
primeira.;1
eu;285
conclamo;2
os;118
demais;3
candidatos;28
a;807
presidente;52
da;269
república;14
que;832
assinem;1
esse;77
compromisso;4
pela;32
vida:;1
25%.;1
vamos;51
tirar;15
do;382
orçamento;14
secreto.;4
vamos;51
tirar;15
dos;48
desperdícios,;1
vamos;51
reduzir;4
a;807
máquina,;1
mas;73
vamos;51
dar;22
dignidade;10
da;269
saúde;8
a;807
quem;73
mais;128
precisa.;1
porque;92
esse;77
brasil;111
é;420
de;798
todos.;9
ele;42
não;311
pode;22
ser;54
mais;128
do;382
rico;4
do;382
que;832
do;382
pobre.;2
o;804
rico;4
não;311
pode;22
ter;48
atendimento;3
de;798
saúde;8
privada;4
de;798
excelência;6
enquanto;7
o;804
pobre;5
morre;1
nas;20
filas;3
dos;48
hospitais.obrigada,;1
candidata.;1
o;804
próximo;9
a;807
perguntar;16
agora;26
é;420
o;804
candidato;61
lula,;11
que;832
deve;5
dirigir;3
a;807
pergunta;37
para;321
o;804
candidato;61
felipe;14
d'ávila;4
ou;59
para;321
soraya;21
thronicke.;5
para;321
quem;73
vai?eu;1
vou;26
dirigir;3
ao;55
felipe;14
d'ávila.por;1
favor.candidato,;2
o;804
mundo;26
hoje;23
vive;4
discutindo;4
a;807
questão;19
climática.;1
ou;59
os;118
governantes;1
tomam;1
noção;2
de;798
que;832
é;420
da;269
responsabilidade;7
de;798
cada;28
governante;1
cuidar;4
do;382
seu;41
país;49
para;321
que;832
todos;54
cuidando;1
do;382
seu,;1
cuidem;2
do;382
planeta,;2
ou;59
a;807
gente;71
vai;85
destruir;2
o;804
planeta,;2
que;832
é;420
nossa;16
terra.;1
eu;285
queria;11
que;832
o;804
senhor;38
me;42
desse;15
sua;37
opinião;3
sobre;19
o;804
que;832
está;75
acontecendo;2
no;221
brasil.;36
ou;59
seja,;24
o;804
brasil;111
rompeu;1
o;804
acordo;3
que;832
tinha;18
com;221
a;807
alemanha;2
e;577
com;221
a;807
noruega,;1
o;804
brasil;111
faz;22
discurso;3
todo;25
santo;2
dia;6
de;798
que;832
é;420
preciso;15
desmatar,;1
que;832
é;420
preciso;15
queimar,;1
que;832
é;420
preciso;15
plantar?;1
ou;59
seja,;24
e;577
não;311
há;20
nenhum;13
cuidado;2
com;221
a;807
questão;19
ambiental.;1
ou;59
seja,;24
qual;13
é;420
a;807
sua;37
proposta;9
para;321
resolver;9
a;807
questão;19
ambiental?bom,;1
candidato;61
lula,;11
a;807
retomada;2
do;382
crescimento;7
econômico;2
do;382
brasil;111
depende;5
de;798
uma;194
política;33
ambiental;1
que;832
faça;3
o;804
brasil;111
ser;54
a;807
primeira;23
nação;1
carbono;4
zero;3
entre;36
as;110
grandes;3
potências;1
econômicas.;1
isso;76
está;75
no;221
nosso;31
plano;3
de;798
governo.;13
esta;4
é;420
a;807
maior;24
oportunidade;16
que;832
o;804
brasil;111
tem;121
para;321
sequestrar;2
carbono.;1
o;804
brasil;111
tem;121
potencial;1
para;321
sequestrar;2
50%;5
do;382
carbono;4
do;382
mundo,;12
plantando;1
árvores;2
em;175
terra;3
degradada.;1
nós;201
temos;51
50;7
milhões;41
de;798
hectares;2
de;798
terra;3
degradadas,;1
dá;9
para;321
plantar;1
árvores;2
em;175
três;13
milhões;41
de;798
hectares,;1
isso;76
vai;85
gerar;12
renda;17
para;321
pessoas;44
mais;128
pobres,;4
isso;76
vai;85
gerar;12
progresso;2
em;175
outras;9
regiões;1
do;382
brasil.;36
vai;85
ajudar;6
também;35
a;807
impulsionar;1
a;807
energia;2
renovável;1
no;221
brasil.;36
o;804
brasil;111
já;49
tem;121
a;807
matriz;1
mais;128
limpa;1
de;798
energia;2
e;577
precisa;15
continuar;3
expandindo.;1
e;577
nós;201
vamos;51
criar;4
o;804
"""emprego";1
"verde"",";1
porque;92
este;9
emprego;15
de;798
serviços;2
ambientais,;1
da;269
bioeconomia,;1
é;420
a;807
maior;24
fonte;1
para;321
atrair;8
investimento;14
externo;2
para;321
o;804
brasil.;36
investimento;14
fundamental;5
para;321
a;807
retomada;2
do;382
crescimento;7
econômico,;4
da;269
geração;7
de;798
emprego;15
e;577
renda.;4
portanto,;17
o;804
meio;11
ambiente;4
precisa;15
ser;54
tratado;1
com;221
seriedade,;1
como;84
a;807
maior;24
oportunidade;16
que;832
o;804
brasil;111
tem;121
para;321
recuperar;3
o;804
seu;41
crescimento;7
econômico,;4
atrair;8
investimento.;2
e;577
mais,;3
ajuda;2
ao;55
agro;10
brasileiro.;6
porque;92
o;804
agro;10
brasileiro;14
é;420
o;804
que;832
mais;128
sofre;3
quando;42
se;123
desmata;1
no;221
brasil,;43
porque;92
vem;12
retaliação;1
lá;29
de;798
fora,;2
dizendo;6
que;832
não;311
vai;85
comprar;4
soja;2
do;382
brasil,;43
ou;59
carne;1
do;382
brasil,;43
porque;92
vem;12
de;798
área;3
desmatada.;1
o;804
que;832
é;420
mentira.;4
o;804
agronegócio;3
brasileiro;14
é;420
o;804
mais;128
sustentável;2
do;382
mundo.;7
nenhum;13
outro;8
país;49
do;382
mundo;26
planta;1
soja;2
no;221
cerrado;1
e;577
mantém;2
35%;1
de;798
reserva;4
legal.;3
nenhum;13
outro;8
país;49
do;382
mundo;26
colhe;1
uma;194
tonelada;1
de;798
cacau,;1
no;221
norte,;1
e;577
mantém;2
80%;3
de;798
reserva;4
legal.;3
portanto,;17
nós;201
não;311
podemos;8
desperdiçar;1
esta;4
enorme;2
oportunidade;16
que;832
o;804
brasil;111
tem;121
para;321
atrair;8
investimento,;2
renda;17
e;577
emprego,;8
e;577
se;123
transformar;6
no;221
primeiro;22
país;49
carbono;4
zero;3
do;382
mundo.olha,;1
nenhum;13
empresário;2
sério,;1
que;832
conhece;2
a;807
questão;19
da;269
relação;9
comercial;2
do;382
mundo,;12
vai;85
fazer;62
queimada;1
ou;59
vai;85
destruir;2
os;118
biomas;1
brasileiros,;10
seja;14
o;804
pantanal,;1
seja;14
a;807
amazônia,;1
seja;14
a;807
caatinga,;1
não;311
vai.;2
entretanto,;1
nós;201
temos;51
gente;71
do;382
governo;56
que;832
até;28
incentiva.;1
nós;201
tivemos;5
ministro;7
que;832
dizia;2
"""deixa";1
a;807
boiada;1
"passar"".";1
bom,;2
o;804
que;832
eu;285
quero,;1
na;124
verdade,;9
é;420
o;804
seguinte:;8
eu;285
tive;4
o;804
prazer;4
de;798
ser;54
presidente;52
da;269
república;14
e;577
participar;5
da;269
cop-15,;1
em;175
copenhagen.;1
em;175
copenhagen,;1
o;804
brasil;111
assumiu;1
um;205
compromisso,;3
que;832
depois;8
foi;83
referendado;1
em;175
paris,;2
em;175
que;832
a;807
gente;71
reduziu;3
o;804
desmatamento;2
em;175
80%;3
e;577
que;832
a;807
gente;71
iria;1
diminuir;8
a;807
emissão;1
de;798
gás;1
de;798
efeito;2
estufa;1
em;175
36.9%.;1
e;577
o;804
brasil;111
passou;5
a;807
ser;54
referência;2
no;221
mundo;26
inteiro,;2
todo;25
mundo;26
conversava;1
com;221
o;804
brasil,;43
e;577
hoje;23
as;110
pessoas;44
têm;24
o;804
brasil;111
como;84
um;205
país;49
que;832
não;311
leva;2
a;807
sério;2
e;577
ninguém;9
respeita;5
as;110
decisões;1
do;382
brasil.é;1
verdade,;9
lula,;11
mas;73
só;53
que;832
mudou;2
muito;50
a;807
questão;19
do;382
meio;11
ambiente.;2
meio;11
ambiente;4
nós;201
vamos;51
resolver;9
com;221
mais;128
mercado.;3
existem;1
hoje;23
us$;6
50;7
trilhões;2
no;221
mundo;26
que;832
vai;85
investir;6
em;175
país;49
que;832
respeita;5
o;804
meio;11
ambiente,;3
a;807
questão;19
da;269
governança;5
e;577
a;807
questão;19
social.;2
e;577
o;804
pt;23
me;42
dá;9
sempre;7
a;807
impressão;1
de;798
que;832
não;311
gosta;2
do;382
mercado,;3
empresário;2
é;420
"latifundiário;";1
não;311
é;420
isso,;26
nós;201
temos;51
que;832
olhar;8
o;804
mercado;8
com;221
juízo.;1
o;804
mercado;8
vai;85
ajudar;6
o;804
brasil;111
a;807
resolver;9
a;807
questão;19
do;382
meio;11
ambiente,;3
vai;85
trazer;10
investimento;14
privado!;1
nós;201
temos;51
de;798
acabar;11
com;221
essa;62
dicotomia;2
que;832
preservar;3
o;804
brasil;111
é;420
manter;5
o;804
"atraso;";1
não!;1
preservar;3
significa;5
exatamente;7
o;804
oposto:;1
atrair;8
investimento,;2
renda;17
e;577
emprego;15
com;221
o;804
dinheiro;34
privado.;5
não;311
tem;121
mais;128
essa;62
dicotomia;2
que,;20
para;321
preservar;3
o;804
meio;11
ambiente,;3
nós;201
temos;51
que;832
simplesmente;2
não;311
fazer;62
nada;14
na;124
"terra;";1
não,;3
nós;201
temos;51
que;832
saber;10
usar;6
isto;3
a;807
nosso;31
favor.;2
eu;285
tenho;27
certeza;3
absoluta;3
que;832
o;804
brasil;111
vai;85
ser;54
um;205
exemplo;11
em;175
ser;54
este;9
país;49
que;832
vai;85
capturar;1
50%;5
do;382
carbono;4
do;382
mundo,;12
dar;22
uma;194
lição;1
para;321
o;804
mundo,;12
e;577
isso;76
vai;85
ser;54
fundamental;5
para;321
recuperar;3
a;807
credibilidade;1
internacional;4
do;382
brasil.;36
o;804
brasil;111
jamais;8
vai;85
voltar;19
a;807
ser;54
um;205
país;49
confiável;1
nas;20
relações;2
internacionais;2
se;123
continuar;3
tratando;1
o;804
meio;11
ambiente;4
com;221
o;804
descaso;1
que;832
vem;12
acontecendo;2
nos;32
últimos;7
anos.;14
é;420
uma;194
pena,;1
porque;92
nós;201
temos;51
essa;62
potência;2
do;382
desenvolvimento;4
regional.;1
veja;1
só;53
como;84
é;420
importante;12
o;804
desenvolvimento;4
sustentável;2
para;321
gerar;12
receita;1
no;221
nordeste,;2
com;221
as;110
energias;1
renováveis,;1
com;221
eólica,;1
solar,;1
biomassa,;1
a;807
fronteira;1
agrícola;2
crescendo;2
de;798
forma;18
sustentável.;2
esse;77
é;420
o;804
brasil;111
que;832
dá;9
certo,;2
é;420
o;804
brasil;111
do;382
agronegócio.;2
é;420
o;804
único;9
setor;9
da;269
economia;23
capaz;3
de;798
competir;4
no;221
comércio;4
internacional.;1
nós;201
temos;51
que;832
usar;6
o;804
exemplo;11
do;382
agro;10
para;321
poder;20
crescer;4
e;577
expandir;1
o;804
nosso;31
mercado.;3
o;804
agro;10
é;420
o;804
único;9
setor;9
da;269
economia;23
brasileira;12
que;832
não;311
tem;121
medo;2
da;269
concorrência;1
internacional.a;1
última;4
a;807
perguntar;16
nessa;11
rodada;9
é;420
a;807
candidata;29
simone;18
tebet,;5
a;807
pergunta;37
a;807
ser;54
feita;3
à;49
senadora;12
soraya;21
thronicke.candidata;1
soraya,;11
eu;285
não;311
tenho;27
como;84
professora;3
não;311
fazer;62
pergunta;37
sobre;19
educação.;7
eu;285
gostaria;14
de;798
perguntar;16
à;49
senhora;26
sabe;33
o;804
quanto;8
esta;4
questão;19
é;420
cara;4
para;321
mim.;4
dei;3
aula,;1
12;2
anos,;13
de;798
direito;26
administrativo,;1
de;798
como;84
é;420
que;832
se;123
administra;1
um;205
estado;16
e;577
um;205
país,;15
e;577
tive;4
o;804
privilégio;5
de;798
tê-la;1
como;84
uma;194
excelente;1
aluna.;1
mas,;9
infelizmente,;4
educação;35
nunca;9
foi;83
prioridade;3
no;221
país.;15
educação;35
nunca;9
foi;83
colocado;1
como;84
um;205
projeto;10
nacional,;6
de;798
estado,;6
e;577
não;311
de;798
governo.;13
é;420
por;123
isso;76
que;832
os;118
indicadores;3
da;269
educação;35
estão;26
nesse;27
patamar;1
há;20
mais;128
de;798
30;7
anos.;14
mas;73
nunca;9
a;807
educação;35
esteve;2
tão;6
estampada;1
nas;20
páginas;1
policiais.;1
não;311
é;420
só;53
descaso,;1
é;420
corrupção,;9
é;420
superfaturamento;1
de;798
ônibus;2
escolares,;1
é;420
fotografia,;1
na;124
bíblia,;1
de;798
um;205
ministro,;2
com;221
dinheiro;34
público,;6
para;321
participar;5
de;798
eleição.;1
então,;23
a;807
pergunta;37
é:;6
diante;4
de;798
tudo;16
isso,;26
como;84
fazer;62
para;321
resolver;9
o;804
problema;5
da;269
educação;35
e;577
garantir;6
dignidade;10
para;321
as;110
nossas;7
crianças;15
e;577
para;321
os;118
nossos;5
jovens?obrigada,;1
candidata,;6
pela;32
pergunta.;7
é;420
um;205
assunto;3
que;832
também;35
me;42
é;420
caro.;2
poucas;1
pessoas;44
sabem,;1
mas;73
eu;285
fui;32
professora;3
de;798
inglês;1
por;123
muito;50
tempo,;4
então;9
eu;285
sei;17
o;804
que;832
é;420
que;832
é;420
uma;194
sala;3
de;798
aula;3
também.;4
e;577
como;84
a;807
senhora;26
bem;15
disse,;4
a;807
senhora;26
foi;83
minha;39
professora,;1
nós;201
sabemos;5
a;807
importância;3
da;269
educação,;10
e;577
por;123
isso;76
a;807
nossa;16
primeira;23
proposta,;2
e;577
revolucionária,;1
é;420
isentar...;1
escutem;2
bem,;4
escutem;2
bem,;4
isentar;2
de;798
imposto;16
de;798
renda;17
todos;54
os;118
professores.;1
todos;54
os;118
professores,;1
tanto;4
do;382
ensino;15
público;11
quanto;8
privado.;5
isso;76
não;311
é;420
conto;2
de;798
fadas,;1
isso;76
é;420
verdade,;9
isso;76
já;49
foi;83
estudado,;1
o;804
impacto;1
é;420
apenas;10
de;798
10;2
bi;1
por;123
ano.;4
eu;285
sei;17
disso,;6
isso;76
é;420
possível;5
fazer,;6
principalmente;2
por;123
conta;11
do;382
financiamento;3
que;832
o;804
imposto;16
único;9
federal;8
vai;85
proporcionar.;1
mas,;9
além;12
dessa;7
valorização,;1
que;832
é;420
a;807
primeira;23
coisa:;3
a;807
valorização;4
de;798
você,;7
professor,;5
que;832
está;75
ali;5
na;124
ponta;1
e;577
que;832
é;420
tão;6
desvalorizado,;1
começa;7
por;123
aí.;4
e;577
aí;16
nós;201
temos;51
inúmeras;1
propostas,;2
propostas;4
de...;1
em;175
relação;9
ao;55
analfabetismo;1
funcional,;1
a;807
criação;4
de;798
metodologias;1
"autodidáticas;";1
isso;76
é;420
muito;50
importante;12
para;321
que;832
as;110
pessoas;44
consigam,;1
complementariamente;1
ao;55
professor,;5
aprender;3
sozinhas.;1
mas;73
uma;194
coisa;22
que;832
eu;285
quero;43
deixar;7
aqui;35
muito;50
claro;2
e;577
que;832
muito;50
me;42
preocupa:;1
durante;7
a;807
pandemia,;6
nós;201
tivemos;5
nossas;7
crianças;15
fora;7
da;269
escola,;2
e;577
o;804
governo;56
não;311
conseguiu;4
fazer;62
um;205
programa;12
que;832
resolvesse;1
isso.;11
simples;2
seria;2
se;123
ele;42
utilizasse;1
o;804
mesmo;21
método;1
que;832
utilizou;1
o;804
presidente;52
de;798
portugal,;1
marcelo;2
rebelo.;1
marcelo;2
rebelo;1
é;420
professor;8
também,;7
e;577
ele;42
foi;83
para;321
a;807
tv;15
estatal.;4
ele;42
foi;83
para;321
a;807
tv;15
estatal;3
dar;22
aulas,;1
e;577
contratou;2
os;118
melhores;4
professores;3
do;382
país;49
para;321
dar;22
aula;3
na;124
tv;15
aberta;2
para;321
os;118
alunos.;1
e;577
aí;16
nós;201
temos;51
a;807
nossa;16
ebc,;1
que;832
passou;5
todo;25
esse;77
tempo;20
fazendo;9
campanha;13
para;321
o;804
atual;8
presidente;52
da;269
república.;6
isso;76
é;420
grave,;2
isso;76
é;420
sério;2
em;175
um;205
governo;56
que;832
prometeu;1
privatizar.;1
portanto,;17
dentre;1
tantas,;2
e;577
tantas,;2
e;577
tantas;3
propostas;4
nossas,;1
que;832
é,;1
inclusive,;2
incluir;1
a;807
iniciativa;5
privada;4
dentro;12
do;382
nosso;31
sistema;1
para;321
conseguir;7
resolver;9
o;804
problema...;1
o;804
que;832
falta;8
na;124
educação;35
pública,;3
nós;201
incluiremos;1
também;35
a;807
capacidade;4
da;269
iniciativa;5
privada;4
para;321
nos;32
ajudar,;1
porque,;4
no;221
brasil,;43
contrariamente;1
ao;55
que;832
disse;4
o;804
ex-presidente;8
lula,;11
atual;8
candidato,;11
nós;201
gastamos;3
muito,;4
gastamos;3
como;84
primeiro;22
mundo;26
na;124
educação;35
e;577
entregamos;1
uma;194
educação;35
de;798
quinta;1
categoria.;1
isso;76
tem;121
que;832
acabar.sem;1
dúvida,;2
candidata;29
soraya,;11
valorização;4
do;382
professor;8
é;420
fundamental,;1
cuidar;4
de;798
quem;73
cuida.;1
mas;73
é;420
mais;128
do;382
que;832
isso.;11
ensinar;2
o;804
professor;8
não;311
apenas;10
o;804
que;832
educar;2
e;577
ensinar,;1
mas;73
como;84
educar;2
e;577
ensinar.;1
nós;201
vamos;51
atacar;4
o;804
problema;5
desde;4
a;807
primeira;23
infância.;1
vamos;51
acabar;11
com;221
as;110
mais;128
de;798
duas;11
mil;8
creches;1
que;832
estão;26
paralisadas;1
há;20
muitos;13
anos.;14
e;577
dinheiro;34
tem;121
do;382
fundeb,;1
que;832
nós;201
dobramos;1
e;577
tá;21
fora;7
do;382
teto.;1
vamos;51
colocar;9
todas;17
as;110
crianças;15
de;798
quatro;14
a;807
cinco;5
dentro;12
das;70
nossas...;1
do;382
ensino;15
infantil.;1
mas;73
vamos;51
atacar;4
o;804
maior;24
problema;5
que;832
é;420
o;804
ensino;15
médio.;1
o;804
ensino;15
médio;3
técnico;1
profissionalizante;2
sai;3
do;382
papel;3
pra;83
que;832
os;118
nossos;5
jovens;3
possam;1
entrar;3
no;221
mercado;8
de;798
trabalho;7
imediatamente.;1
e;577
pra;83
isso,;26
pra;83
que;832
eles;12
não;311
virem;1
nem-nem,;1
nem;12
estudo;3
nem;12
trabalho,;2
nós;201
vamos;51
colocar;9
um;205
poupança;1
jovem.;1
o;804
nosso;31
jovem;3
vai;85
ganhar;8
dinheiro;34
todo;25
ano,;8
e;577
no;221
final;7
do;382
terceiro;3
ano;9
do;382
ensino;15
médio,;1
vai;85
ganhar;8
r$;59
5.000;1
pra;83
fazer;62
o;804
que;832
ele;42
quiser,;1
dar;22
uma;194
entrada;1
numa;8
moto;3
ou;59
num;1
celular,;1
mas;73
pra;83
que;832
ele;42
não;311
saia.;1
porque;92
a;807
educação;35
vai;85
ser;54
prioridade;3
pela;32
primeira;23
vez;11
na;124
história;7
do;382
brasil.;36
eu;285
sei;17
porque;92
sou;32
professora.;2
eu;285
sei;17
que;832
só;53
a;807
educação;35
salva.tempo.sem;1
falar,;2
brasileiros,;10
do;382
valor;7
da;269
merenda;3
que;832
não;311
foi;83
atualizado.;1
as;110
nossas;7
crianças,;2
muitas;7
delas;1
têm;24
somente;3
a;807
merenda;3
escolar;6
pra;83
comer.;3
é;420
triste;4
demais.;1
nossas;7
crianças;15
sequer,;1
muitas;7
delas,;1
não;311
têm;24
banheiro;1
nas;20
escolas.;1
então,;23
assim,;7
é;420
sério.;2
estamos;15
vivendo;3
o;804
maior;24
caos;1
já;49
visto;2
na;124
história;7
desse;15
país.;15
isso;76
tem;121
que;832
mudar,;5
e;577
eu;285
tô;3
aqui;35
pra;83
contar;2
a;807
verdade;6
pra;83
vocês,;2
porque;92
eu;285
tô;3
aqui;35
dentro,;1
estou;22
nos;32
bastidores,;1
e;577
agora;26
eu;285
posso;4
falar.obrigada.;1
você;64
está;75
acompanhando;1
o;804
primeiro;22
debate;16
entre;36
os;118
candidatos;28
à;49
presidência;13
da;269
república;14
realizado;3
por;123
um;205
pool;5
que;832
reúne;2
o;804
grupo;9
bandeirantes,;10
o;804
jornal;5
folha;10
de;798
s.paulo,;6
a;807
tv;15
cultura;7
e;577
o;804
uol.essa;1
foi;83
a;807
última;4
resposta;16
do;382
primeiro;22
bloco.;3
logo;3
depois;8
do;382
intervalo;1
é;420
a;807
vez;11
de;798
jornalistas;8
das;70
empresas;8
que;832
integram;2
o;804
pool;5
perguntarem;1
aos;18
candidatos.olho;1
no;221
voto,;2
eleições;6
2022.voltamos;1
ao;55
vivo;4
com;221
o;804
primeiro;22
debate;16
das;70
eleições;6
2022;3
entre;36
os;118
candidatos;28
à;49
presidência;13
da;269
república.;6
o;804
encontro;3
é;420
realizado;3
por;123
um;205
pool;5
que;832
reúne;2
a;807
tv;15
cultura,;9
o;804
grupo;9
bandeirantes,;10
folha;10
de;798
s.paulo;3
e;577
o;804
portal;5
uol,;4
e;577
está;75
sendo;12
transmitido;3
pelas;6
principais;1
plataformas;2
digitais;4
e;577
pela;32
band;10
internacional.estamos;1
ao;55
vivo;4
também;35
no;221
bandnews;2
tv;15
e;577
nas;20
rádios;3
bandeirantes;5
e;577
bandnews;2
fm.;1
neste;12
bloco,;4
jornalistas;8
das;70
empresas;8
que;832
integram;2
o;804
pool;5
fazem;5
perguntas;8
para;321
os;118
candidatos.;10
pelas;6
regras;6
definidas;1
em;175
comum;1
acordo;3
com;221
os;118
partidos,;3
o;804
jornalista;12
escolhe;4
um;205
candidato;61
para;321
responder;16
e;577
outro;8
para;321
comentar.os;1
tempos;3
são;33
os;118
mesmos;1
do;382
confronto;7
anterior.;1
o;804
candidato;61
que;832
responde;3
terá;5
total;3
de;798
quatro;14
minutos;10
para;321
administrar;1
entre;36
a;807
resposta;16
e;577
a;807
réplica,;2
o;804
comentário;8
será;19
de;798
um;205
minuto.eu;1
lembro;4
que;832
a;807
ordem;9
dos;48
jornalistas;8
para;321
este;9
bloco;5
foi;83
definida;3
em;175
sorteio;3
entre;36
os;118
integrantes;3
do;382
pool.;1
e;577
quem;73
faz;22
a;807
primeira;23
pergunta,;10
pela;32
band,;2
é;420
o;804
jornalista;12
rodolfo;1
schneider.;1
por;123
favor,;9
rodolfo,;1
boa;18
noite.;7
indica;3
quem;73
você;64
vai;85
perguntar;16
e;577
quem;73
comenta.boa;1
noite.;7
minha;39
pergunta;37
é;420
para;321
o;804
presidente;52
da;269
república,;16
candidato;61
jair;19
bolsonaro,;13
e;577
comentário;8
do;382
ex-presidente;8
da;269
república,;16
e;577
candidato,;11
lula.;5
um;205
dos;48
assuntos;1
mais;128
comentados;1
nesse;27
momento;9
na;124
nossa;16
sala;3
digital,;3
em;175
parceria;7
com;221
google;2
e;577
youtube;2
na;124
área;3
de;798
economia,;5
é;420
o;804
auxílio;23
emergencial.;4
acho;13
que;832
não;311
se;123
discute;1
mais;128
que;832
o;804
brasil;111
precisa;15
de;798
um;205
programa;12
de;798
transferência;1
de;798
renda,;2
seja;14
auxílio;23
brasil,;43
bolsa;7
família;5
ou;59
o;804
nome;11
que;832
for.;1
a;807
minha;39
pergunta;37
é:;6
neste;12
momento,;3
aprovado;2
até;28
o;804
final;7
do;382
ano,;8
temos;51
o;804
auxílio;23
a;807
r$;59
600,;3
além;12
de;798
auxílio;23
caminhoneiro;1
e;577
também;35
auxílio;23
taxista.;1
no;221
ano;9
que;832
vem,;1
o;804
orçamento;14
prevê;1
r$;59
400,;3
porém;1
o;804
presidente;52
bolsonaro;14
e;577
ex-presidente;8
já;49
disseram;1
que;832
manteriam;1
a;807
r$;59
600;6
esse;77
valor.;1
mas;73
de;798
onde;20
sairá;1
esse;77
dinheiro?;2
se;123
romperá;1
o;804
teto;3
de;798
gastos?;1
retirará;1
dinheiro;34
de;798
outros;3
orçamentos;1
de;798
ministérios?;1
obrigado.;2
por;123
favor,;9
bolsonaro,;13
presidente;52
da;269
república,;16
e;577
ex-presidente;8
lula.até;1
o;804
ano;9
passado;3
era;27
de;798
r$;59
192,;1
em;175
média.;1
nós;201
passamos;3
para;321
400,;3
de;798
forma;18
definitiva,;1
contra;37
o;804
voto;6
do;382
pt;23
na;124
câmara.;3
ato;2
contínuo,;1
nós,;11
nesse;27
ano,;8
por;123
uma;194
pec,;1
acrescentamos;1
r$;59
200;4
até;28
o;804
final;7
do;382
ano.;4
ou;59
seja,;24
no;221
momento;9
o;804
auxílio;23
brasil;111
é;420
de;798
r$;59
600.;4
e;577
nós;201
vamos;51
manter;5
esse;77
valor;7
a;807
partir;5
do;382
ano;9
que;832
vem.;2
logicamente,;1
esse;77
auxílio;23
se;123
aproxima;1
do;382
mínimo;3
necessário;2
para;321
pessoa;9
sobreviver,;1
sair;4
da;269
linha;5
da;269
pobreza;2
de;798
forma;18
mais;128
concreta.;1
onde;20
retirar;2
dinheiro?;2
tenho;27
acertado;2
com;221
a;807
equipe;2
econômica;10
e;577
conversado,;1
dentro;12
da;269
responsabilidade;7
fiscal.;1
quando,;2
por;123
exemplo,;10
no;221
ano;9
passado;3
passamos;3
para;321
r$;59
400,;3
ninguém;9
acreditava.;1
nós;201
conseguimos;4
renegociar;2
os;118
precatórios,;1
contra;37
o;804
voto;6
do;382
pt;23
na;124
câmara,;1
que;832
para;321
o;804
pt,;13
quanto;8
pior;3
estiver;2
o;804
povo,;2
mais;128
pobre,;1
melhor;8
é;420
para;321
eles;12
fazerem;1
política;33
em;175
cima;2
disso.;5
e,;17
obviamente,;3
quando;42
se;123
fala;15
em;175
auxílio;23
emergencial;5
para;321
comprar;4
alimentos,;2
isso;76
tem;121
a;807
ver;9
com;221
inflação.;3
e;577
nós;201
conseguimos,;1
no;221
corrente;3
ano,;8
diminuir;8
o;804
teto;3
do;382
icms;2
em;175
todo;25
brasil,;43
de;798
forma;18
que;832
a;807
gasolina,;1
hoje,;17
tem;121
estados;7
que;832
já;49
está;75
abaixo;5
de;798
r$;59
5.;1
tem;121
estados;7
também;35
que;832
o;804
álcool,;1
o;804
etanol;1
está;75
abaixo;5
de;798
r$;59
4.;1
contra;37
o;804
voto;6
dos;48
senadores;3
do;382
pt;23
lá;29
no;221
senado;4
federal.;5
como;84
conseguir;7
recursos?;1
não;311
roubando,;1
não;311
metendo;1
a;807
mão;2
no;221
bolso;7
do;382
povo.;2
o;804
que;832
é;420
não;311
roubar?;1
estatais,;1
por;123
exemplo.;5
nós;201
podemos,;1
está;75
programado;1
recursos;3
das;70
estatais;4
irem;1
para;321
esse;77
lado;6
de;798
cá;2
do;382
orçamento.;1
em;175
governos;4
anteriores,;1
as;110
estatais;4
davam;2
lucro;2
muito;50
baixo,;1
ou;59
até;28
prejuízo.;1
no;221
nosso;31
governo,;11
o;804
lucro;2
está;75
chegando;2
à;49
casa;6
dos;48
r$;59
200;4
bilhões.;4
