Palavra;Frequência
estender;1
os;118
auxílios;1
aos;18
mais;128
vulneráveis;1
e;577
algumas;2
categorias,;1
manter;5
zerados;1
os;118
impostos;5
sobre;19
combustíveis;2
e;577
também;35
aumentar;4
salários;3
de;798
servidores.;1
mas;73
tantos;2
gastos;1
não;311
cabem;1
nas;20
regras;6
fiscais.;1
e;577
a;807
gente;71
sabe;33
que;832
sem;28
responsabilidade;7
com;221
as;110
contas;5
públicas,;3
a;807
nossa;16
moeda;1
perde;2
o;804
valor;7
e;577
isso;76
gera;4
mais;128
inflação;6
e;577
baixo;1
crescimento.;1
gostaria;14
de;798
saber;10
como;84
equilibrar;2
as;110
enormes;1
demandas;1
sociais;1
e,;17
ao;55
mesmo;21
tempo,;4
garantir;6
a;807
responsabilidade;7
com;221
as;110
contas;5
do;382
país.;15
muito;50
obrigada.boa;1
noite,;7
juliana,;2
em;175
nome;11
da;269
tv;15
bandeirantes,;10
quero;43
agradecer;10
esse;77
debate;16
muito;50
importante.;3
boa;18
noite;12
aos;18
candidatos;28
e;577
candidatas.;1
e;577
boa;18
noite;12
a;807
você;64
que;832
nos;32
assiste.;1
realmente,;2
esse;77
é;420
o;804
maior;24
problema.;1
a;807
economia;23
brasileira;12
está;75
estagnada;1
há;20
mais;128
de;798
20;8
anos.;14
o;804
brasil;111
não;311
cresce,;2
não;311
aumenta;1
a;807
geração;7
de;798
emprego;15
e;577
renda.;4
e;577
nós;201
temos;51
de;798
conciliar,;1
sim,;17
com;221
o;804
gasto;4
público.;2
mas,;9
pra;83
fazer;62
isso,;26
é;420
preciso;15
cortar;2
desperdício;2
da;269
máquina;5
pública.;9
tem;121
muito;50
dinheiro;34
sendo;12
desperdiçado.;1
mas;73
eu;285
gostaria;14
de;798
me;42
apresentar.;2
eu;285
sou;32
o;804
felipe,;3
um;205
cidadão;4
como;84
você,;7
que;832
vive;4
do;382
trabalho,;2
de;798
empreender,;1
é;420
dono;1
do;382
negócio,;1
não;311
vive;4
da;269
política,;10
não;311
vive;4
de;798
governo.;13
e;577
nós;201
estamos;15
cansados;1
desse;15
estado;16
caro;2
e;577
ineficiente;1
que;832
atrapalha;1
a;807
vida;16
de;798
todo;25
mundo;26
que;832
trabalha,;1
que;832
rala;1
todo;25
dia;6
de;798
manhã;1
pra;83
conseguir;7
o;804
seu;41
dinheiro.;4
nós;201
somos;7
o;804
país;49
entre;36
os;118
15;7
mais;128
que;832
cobra;1
imposto.;1
pra;83
quê?;9
pra;83
dar;22
um;205
serviço;2
público;11
de;798
péssima;2
qualidade.;1
tá;21
na;124
hora;6
de;798
ter;48
gestão;6
pública.;9
e,;17
pra;83
isso,;26
é;420
preciso;15
deixar;7
de;798
votar;4
no;221
menos;10
pior.;3
precisamos;33
votar;4
em;175
alguém;5
que;832
entenda;2
de;798
gestão;6
pública,;3
assim;14
como;84
é;420
o;804
caso;17
do;382
governador;2
zema;1
em;175
minas;2
gerais,;2
como;84
é;420
o;804
caso;17
do;382
prefeito;3
adriano;2
silva;1
em;175
joinville.;1
gente;71
que;832
entende;1
de;798
gestão,;2
sabe;33
como;84
cortar;2
gasto;4
público,;6
equilibrar;2
as;110
contas;5
públicas,;3
atrair;8
investimento;14
e;577
fazer;62
a;807
economia;23
crescer.;8
é;420
assim;14
que;832
nós;201
vamos;51
mudar;14
o;804
brasil.;36
muito;50
prazer,;1
eu;285
sou;32
felipe;14
d'avila,;2
candidato;61
do;382
partido;6
novo.obrigada,;1
candidato.;9
agora;26
a;807
candidata;29
soraya;21
thronicke;3
responde;3
à;49
mesma;14
pergunta.;7
por;123
favor,;9
candidata,;6
boa;18
noite.boa;4
noite;12
a;807
todos.;9
boa;18
noite,;7
juliana,;2
obrigada;2
pela;32
pergunta.;7
mas;73
antes;5
eu;285
gostaria;14
de;798
me;42
apresentar.;2
quero;43
primeiro;22
cumprimentar;3
os;118
candidatos;28
que;832
vieram,;1
o;804
comparecimento;1
de;798
todos;54
é;420
de;798
extrema;2
importância,;1
é;420
uma;194
obrigação;2
dos;48
candidatos;28
e;577
é;420
um;205
direito;26
do;382
eleitor;3
conhecer;2
todas;17
as;110
propostas.;1
não;311
comparecer;1
é;420
um;205
ato;2
de;798
covardia.;1
eu;285
sou;32
soraya;21
thronicke,;5
sou;32
senadora;12
pelo;35
mato;2
grosso;3
do;382
sul,;2
e;577
como;84
o;804
outro;8
candidato;61
acabou;4
de;798
dizer,;2
eu;285
não;311
sou;32
do;382
mundo;26
político,;2
eu;285
não;311
dependo;1
do;382
mundo;26
político.;1
estou;22
política;33
porque;92
eu;285
tenho;27
uma;194
proposta.;2
como;84
você,;7
que;832
está;75
aí;16
sentado;1
no;221
sofá,;1
eu;285
também;35
estive.;1
estive;1
nesses;1
últimos;7
20;8
anos;22
assistindo;2
a;807
debates;2
como;84
esses.;1
e;577
aí;16
a;807
minha;39
esperança;1
se;123
renovava;1
a;807
cada;28
quatro;14
anos;22
e;577
depois;8
só;53
vinha;2
decepção.;1
eu;285
acho;13
realmente;5
que;832
é;420
muito;50
chato;1
ficar;12
escutando;1
aqui;35
juridiquês;1
e;577
economês.;1
eu;285
não;311
vim;6
pra;83
brigar;1
com;221
ninguém,;1
não;311
vim;6
pra;83
duelar,;1
eu;285
vim;6
pra;83
falar;19
com;221
você;64
na;124
língua;1
que;832
todos;54
os;118
brasileiros;11
entendem.;1
nós;201
temos;51
uma;194
solução;5
pro;12
nosso;31
país:;1
é;420
o;804
imposto;16
único;9
federal.;5
nós;201
trocaremos;1
11;6
impostos;5
federais;4
por;123
um;205
imposto;16
só.;1
e;577
no;221
decorrer;2
da;269
minha;39
campanha,;3
no;221
decorrer;2
desse;15
debate,;3
você;64
vai;85
conhecer;2
mais;128
sobre;19
essa;62
proposta;9
inovadora,;1
e,;17
na;124
verdade,;9
revolucionária.agora;1
minha;39
pergunta;37
será;19
respondida;4
pelos;10
candidatos;28
simone;18
tebet;5
e;577
jair;19
bolsonaro.;10
poder;20
executivo,;1
legislativo,;1
judiciário.;2
na;124
constituição,;1
eles;12
deveriam;1
funcionar;2
de;798
forma;18
harmoniosa,;1
independente.;1
na;124
vida;16
real,;4
na;124
prática,;2
conflitos;1
e;577
intromissão;1
um;205
no;221
outro.;1
se;123
a;807
senhora;26
for;6
eleita,;1
se;123
o;804
senhor;38
for;6
reeleito,;1
o;804
que;832
pretende;2
fazer;62
pra;83
reduzir;4
esse;77
clima;2
de;798
tensão;1
que;832
não;311
contribui;1
com;221
a;807
ordem;9
e;577
o;804
progresso;2
do;382
brasil?boa;1
noite;12
a;807
todos.;9
permitam-me,;1
antes;5
de;798
mais;128
nada,;2
agradecer;10
à;49
imprensa;2
em;175
nome;11
da;269
band;10
pelo;35
debate;16
que;832
só;53
fortalece;1
a;807
democracia.;3
cumprimentar;3
os;118
candidatos;28
e;577
a;807
candidata;29
e;577
a;807
todos;54
que;832
estão;26
nos;32
acompanhando.;1
é;420
muito;50
simples:;2
a;807
harmonia;4
dos;48
poderes;2
depende;5
excessivamente;1
de;798
um;205
presidente;52
da;269
república;14
que;832
saiba;1
cumprir;4
a;807
constituição;3
e;577
o;804
seu;41
papel.;1
nós,;11
hoje,;17
temos;51
uma;194
radicalização,;1
uma;194
desarmonia;1
em;175
função;1
de;798
termos;3
um;205
presidente;52
que;832
ameaça;2
à;49
democracia;5
e;577
aos;18
valores;2
democráticos;1
a;807
todo;25
momento.;2
não;311
respeita;5
a;807
imprensa;2
livre,;1
não;311
respeita;5
a;807
independência;2
do;382
supremo;6
tribunal;6
federal,;7
do;382
poder;20
judiciário;2
e;577
do;382
poder;20
legislativo.;1
a;807
resposta;16
é:;6
precisamos;33
trocar;3
o;804
presidente;52
da;269
república.;6
sem;28
paz,;5
nós;201
não;311
vamos;51
unir;2
o;804
brasil.;36
sem;28
união,;2
o;804
brasil;111
não;311
vai;85
voltar;19
a;807
crescer,;6
gerar;12
emprego,;8
renda;17
pra;83
população;9
brasileira.;6
a;807
nossa;16
candidatura,;2
a;807
candidatura;2
do;382
centro;3
democrático,;1
do;382
mdb,;2
do;382
psdb,;1
do;382
cidadania;3
e;577
do;382
podemos;8
é;420
uma;194
candidata;29
que;832
vai;85
reposicionar;1
o;804
brasil;111
porque;92
é;420
a;807
única;6
capaz;3
de;798
garantir;6
credibilidade,;2
previsibilidade;1
e;577
segurança;6
jurídica.;1
como;84
professora;3
e;577
como;84
advogada,;2
respeito;5
a;807
constituição;3
e;577
os;118
demais;3
poderes.;1
está;75
na;124
hora;6
dos;48
poderes;2
terem;1
as;110
suas;14
funções.;1
é;420
a;807
política;33
que;832
está;75
judicializando;1
o;804
poder;20
judiciário,;1
e;577
consequentemente;1
o;804
poder;20
judiciário;2
acaba;1
excedendo;1
o;804
seu;41
poder.;1
nós;201
vamos;51
fazer;62
a;807
diferença;2
e;577
vamos;51
pacificar;2
o;804
brasil.candidato;1
jair;19
bolsonaro.assumi;1
a;807
presidência,;5
escolhi;2
meus;4
ministros;5
pelos;10
critérios;1
técnicos,;1
sem;28
ingerência;1
política.;7
isso;76
causou;2
um;205
desconforto;1
por;123
parte;7
de;798
alguns;8
políticos;3
e;577
por;123
parte;7
de;798
alguns;8
partidos,;3
como;84
o;804
mdb,;2
por;123
exemplo.;5
então,;23
eu;285
abalei;1
a;807
harmonia;4
onde;20
todos;54
eram;2
amiguinhos;1
e,;17
obviamente,;3
davam;2
uma;194
banana;1
para;321
o;804
povo;16
brasileiro.;6
hoje;23
vocês;14
conhecem;1
quem;73
são;33
os;118
meus;4
ministros;5
e;577
sabem;3
a;807
capacidade;4
de;798
cada;28
um.;1
possíveis;1
problemas;9
com;221
o;804
supremo;6
tribunal;6
federal,;7
é;420
uma;194
voz;1
corrente,;1
a;807
ingerência,;1
o;804
ativismo;1
judicial;1
que;832
hoje;23
se;123
faz;22
presente;3
no;221
brasil.;36
um;205
ministro;7
agora;26
há;20
pouco;4
interferiu;1
mandando;1
investigar,;1
fazendo;9
buscas;1
e;577
apreensões,;1
entre;36
outras;9
barbaridades;1
em;175
um;205
grupo;9
de;798
empresários.;1
ou;59
seja,;24
esse;77
não;311
é;420
o;804
trabalho;7
do;382
poder;20
judiciário.;2
reagi;1
no;221
tocante;3
a;807
isso.;11
como,;2
por;123
exemplo,;10
também,;7
dei;3
anistia;1
a;807
um;205
deputado;2
federal;8
que;832
havia,;1
injustamente,;1
sido;4
condenado;1
a;807
nove;2
anos;22
de;798
cadeia;2
por;123
falar,;2
não;311
interessa;1
o;804
que;832
ele;42
falou,;1
ele;42
tem;121
imunidade;1
por;123
qualquer;13
palavra,;2
opinião;3
e;577
voto.;2
eu;285
não;311
tenho;27
problemas;9
com;221
poder;20
nenhum.;1
alguns;8
poderes,;1
ou;59
melhor,;2
alguns;8
ministros;5
do;382
supremo;6
tribunal;6
federal;8
que;832
querem,;1
a;807
qualquer;13
preço,;1
interferir;1
no;221
poder;20
executivo.;1
nós;201
não;311
podemos;8
admitir;1
isso;76
daí.;1
a;807
harmonia;4
tem;121
que;832
existir;1
e;577
a;807
independência;2
e;577
o;804
respeito,;4
acima;5
de;798
tudo.;2
e;577
o;804
respeito;5
não;311
falta;8
da;269
minha;39
parte.;1
de;798
outra;5
parte,;4
que;832
alguns;8
se;123
manifestam;1
contrário;1
à;49
minha;39
pessoa.obrigada,;1
candidato.;9
agora,;17
eu;285
faço;2
a;807
próxima;7
pergunta;37
para;321
os;118
candidatos;28
lula;30
e;577
ciro;24
gomes,;8
nessa;11
ordem.;1
a;807
educação;35
no;221
brasil,;43
o;804
retrato;1
da;269
educação;35
já;49
era;27
considerado;2
há;20
muitos;13
anos;22
ruim;1
com;221
o;804
brasil;111
na;124
lanterninha;1
dos;48
testes;1
internacionais;2
de;798
avaliação;2
da;269
qualidade;4
do;382
ensino.;1
só;53
que;832
com;221
a;807
pandemia;10
essa;62
situação;2
se;123
agravou;1
muito.;2
um;205
estudo;3
recente;1
da;269
fundação;1
getúlio;1
vargas;1
indica;3
que;832
o;804
retrocesso;1
no;221
aprendizado;4
de;798
matemática;2
foi;83
de;798
15;7
anos.;14
em;175
português,;1
nossas;7
crianças;15
retrocederam;1
uma;194
década,;1
e;577
o;804
abandono;1
escolar;6
também;35
foi;83
muito;50
mais;128
forte;1
com;221
a;807
pandemia,;6
ampliou;1
muito,;4
sobretudo;1
entre;36
as;110
crianças;15
de;798
cinco;5
a;807
nove;2
anos;22
de;798
idade.;1
a;807
minha;39
pergunta;37
é:;6
se;123
eleitos,;3
os;118
senhores;3
têm;24
um;205
plano;3
para;321
que;832
o;804
ministério;5
da;269
educação;35
aja;1
imediatamente;4
para;321
resgatar;1
essa;62
geração;7
covid;1
de;798
crianças;15
que;832
podem;5
estar;10
condenadas;1
no;221
futuro;1
a;807
baixos;1
salários,;1
a;807
subemprego,;1
comprometendo;1
inclusive;7
o;804
crescimento;7
do;382
brasil?;3
e;577
qual;13
é;420
o;804
plano?;1
começamos;1
com;221
o;804
candidato;61
lula.olha,;1
primeiro;22
eu;285
quero;43
parabenizar;1
a;807
bandeirantes;5
por;123
manter;5
a;807
sua;37
tradição;1
de;798
fazer;62
os;118
debates;2
políticos;3
na;124
época;1
de;798
campanha.;1
segundo,;2
dizer;33
para;321
vocês;14
que,;20
lamentavelmente,;5
a;807
gente;71
não;311
tem;121
informação;1
do;382
mec;1
para;321
saber;10
quantas;5
crianças;15
estão;26
hoje,;17
sabe,;9
com;221
o;804
grau;1
de;798
educação;35
muito;50
abaixo;5
daquilo;1
que;832
deveria;3
estar.;1
porque;92
hoje;23
nós;201
temos;51
dois;23
tipos;1
de;798
estudantes.;1
nós;201
temos;51
aquele;4
que;832
teve;13
acesso;6
a;807
tablet,;1
computador;1
e;577
continuou;1
estudando;1
durante;7
a;807
pandemia,;6
e;577
nós;201
temos;51
aqueles;3
mais;128
pobres;5
que;832
não;311
conseguiram;1
acompanhar;4
e;577
ficaram;2
sem;28
ir;5
para;321
a;807
aula.;2
além;12
disso,;6
nós;201
temos;51
no;221
ensino;15
médio;3
uma;194
quantidade;1
de;798
evasão;1
escolar;6
muito;50
grande.;1
e;577
nós;201
precisamos,;1
então,;23
trazer;10
essas;11
pessoas.;11
o;804
que;832
eu;285
estou;22
comprometido;1
a;807
fazer?;1
a;807
primeira;23
coisa;22
que;832
eu;285
pretendo;1
fazer,;6
se;123
ganhar;8
as;110
eleições,;5
é;420
logo;3
no;221
começo;4
de;798
janeiro;2
convocar;2
uma;194
reunião;3
com;221
todos;54
os;118
governadores;3
de;798
estado,;6
convocar;2
uma;194
reunião;3
com;221
os;118
prefeitos;1
das;70
capitais,;1
no;221
primeiro;22
momento,;3
para;321
que;832
a;807
gente;71
possa;4
fazer;62
um;205
pacto,;1
de;798
fazer;62
uma;194
verdadeira;3
guerra;1
contra;37
o;804
atraso;4
educacional;3
que;832
a;807
pandemia;10
deixou,;1
e;577
contra;37
o;804
atraso;4
educacional;3
de;798
outras;9
situações;1
pelo;35
corte;2
de;798
dinheiro;34
que;832
houve;8
na;124
educação.;7
eu;285
sou;32
daqueles;3
que;832
quando;42
peguei;2
a;807
educação,;10
eu;285
quintupliquei;1
o;804
orçamento;14
da;269
educação,;10
porque;92
eu;285
acreditava;1
que;832
era;27
necessário;2
melhorar;4
a;807
educação.;7
lamentavelmente,;5
a;807
